Time,Extension,Load,Strain 1,Tensile strain,Tensile stress
(sec),(mm),(N),,(%),(MPa)
1.40000,0.04676,146.73073,0.00000,0.18702,3.46553
1.50000,0.04992,155.28093,0.00000,0.19970,3.66748
1.60000,0.05327,163.64764,0.00000,0.21309,3.86508
1.70000,0.05668,172.83428,0.00000,0.22672,4.08206
1.80000,0.05997,180.64772,0.00000,0.23988,4.26660
1.90000,0.06326,189.10599,0.00000,0.25303,4.46637
2.00000,0.06673,196.80683,0.00000,0.26690,4.64825
2.10000,0.06995,205.40764,0.00000,0.27981,4.85139
2.20000,0.07318,212.65347,0.00000,0.29273,5.02252
2.30000,0.07659,221.31354,0.00000,0.30636,5.22706
2.40000,0.07994,229.74752,0.00000,0.31975,5.42625
2.50000,0.08329,237.80949,0.00000,0.33315,5.61666
2.60000,0.08663,246.61792,0.00000,0.34654,5.82470
2.70000,0.09004,255.61480,0.00000,0.36017,6.03719
2.80000,0.09333,263.85833,0.00000,0.37333,6.23189
2.90000,0.09656,271.44379,0.00000,0.38624,6.41105
3.00000,0.09997,280.61860,0.00000,0.39987,6.62774
3.10000,0.10332,289.43680,0.00000,0.41326,6.83601
3.20000,0.10660,298.56558,0.00000,0.42642,7.05162
3.30000,0.11001,307.64802,0.00000,0.44005,7.26613
3.40000,0.11336,315.76734,0.00000,0.45344,7.45790
3.50000,0.11665,325.02264,0.00000,0.46660,7.67649
3.60000,0.11994,334.21232,0.00000,0.47975,7.89354
3.70000,0.12323,343.45414,0.00000,0.49290,8.11181
3.80000,0.12657,353.56029,0.00000,0.50630,8.35050
3.90000,0.12998,362.25689,0.00000,0.51993,8.55590
4.00000,0.13333,372.29285,0.00000,0.53332,8.79293
4.10000,0.13668,382.03008,0.00000,0.54672,9.02291
4.20000,0.14003,391.86156,0.00000,0.56011,9.25511
4.30000,0.14326,400.45348,0.00000,0.57302,9.45804
4.40000,0.14654,409.59911,0.00000,0.58618,9.67405
4.50000,0.14989,418.72701,0.00000,0.59957,9.88963
4.60000,0.15324,428.04345,0.00000,0.61296,10.10967
4.70000,0.15665,437.20803,0.00000,0.62659,10.32612
4.80000,0.16000,446.53961,0.00000,0.63999,10.54652
4.90000,0.16334,456.48497,0.00000,0.65338,10.78141
5.00000,0.16663,464.77909,0.00000,0.66653,10.97731
5.10000,0.16986,473.92952,0.00000,0.67945,11.19342
5.20000,0.17327,483.82343,0.00000,0.69308,11.42710
5.30000,0.17662,493.54667,0.00000,0.70647,11.65675
5.40000,0.17991,502.38483,0.00000,0.71963,11.86549
5.50000,0.18331,511.88245,0.00000,0.73326,12.08981
5.60000,0.18672,521.86209,0.00000,0.74689,12.32551
5.70000,0.18989,532.29760,0.00000,0.75957,12.57198
5.80000,0.19324,542.05772,0.00000,0.77296,12.80250
5.90000,0.19659,551.32410,0.00000,0.78635,13.02135
6.00000,0.19994,560.56967,0.00000,0.79974,13.23972
6.10000,0.20334,570.08890,0.00000,0.81338,13.46455
6.20000,0.20669,579.58043,0.00000,0.82677,13.68872
6.30000,0.21004,589.40030,0.00000,0.84016,13.92065
6.40000,0.21333,598.81103,0.00000,0.85332,14.14292
6.50000,0.21656,607.59787,0.00000,0.86623,14.35045
6.60000,0.21985,616.86700,0.00000,0.87938,14.56937
6.70000,0.22325,626.70801,0.00000,0.89302,14.80180
6.80000,0.22660,635.90123,0.00000,0.90641,15.01892
6.90000,0.22995,644.84561,0.00000,0.91980,15.23018
7.00000,0.23336,654.34291,0.00000,0.93343,15.45448
7.10000,0.23665,663.19457,0.00000,0.94659,15.66355
7.20000,0.23994,672.85611,0.00000,0.95974,15.89174
7.30000,0.24322,681.57073,0.00000,0.97289,16.09756
7.40000,0.24663,691.14710,0.00000,0.98653,16.32374
7.50000,0.24998,701.99636,0.00000,0.99992,16.57998
7.60000,0.25333,712.97963,0.00000,1.01331,16.83939
7.70000,0.25680,725.38527,0.00000,1.02718,17.13239
7.80000,0.26008,735.93133,0.00000,1.04034,17.38147
7.90000,0.26325,747.33440,0.00000,1.05301,17.65079
8.00000,0.26666,758.40778,0.00000,1.06664,17.91232
8.10000,0.26989,768.69503,0.00000,1.07956,18.15529
8.20000,0.27324,780.84134,0.00000,1.09295,18.44217
8.30000,0.27671,792.78005,0.00000,1.10682,18.72414
8.40000,0.28005,804.26810,0.00000,1.12022,18.99547
8.50000,0.28328,814.90781,0.00000,1.13313,19.24676
8.60000,0.28663,825.21150,0.00000,1.14652,19.49012
8.70000,0.28986,836.58807,0.00000,1.15944,19.75881
8.80000,0.29321,847.91547,0.00000,1.17283,20.02635
8.90000,0.29662,859.74121,0.00000,1.18646,20.30565
9.00000,0.29996,870.48486,0.00000,1.19986,20.55940
9.10000,0.30331,881.52671,0.00000,1.21325,20.82019
9.20000,0.30672,893.23698,0.00000,1.22688,21.09676
9.30000,0.30995,904.14966,0.00000,1.23979,21.35450
9.40000,0.31318,914.22517,0.00000,1.25271,21.59247
9.50000,0.31659,926.27294,0.00000,1.26634,21.87702
9.60000,0.31999,938.06405,0.00000,1.27997,22.15550
9.70000,0.32334,949.67363,0.00000,1.29337,22.42970
9.80000,0.32669,961.04769,0.00000,1.30676,22.69834
9.90000,0.33010,972.05676,0.00000,1.32039,22.95835
10.00000,0.33339,982.37069,0.00000,1.33354,23.20195
10.10000,0.33661,992.64048,0.00000,1.34646,23.44451
10.20000,0.33996,1004.74395,0.00000,1.35985,23.73037
10.30000,0.34331,1015.19777,0.00000,1.37325,23.97727
10.40000,0.34666,1025.85293,0.00000,1.38664,24.22893
10.50000,0.35013,1037.25847,0.00000,1.40051,24.49831
10.60000,0.35342,1048.00137,0.00000,1.41366,24.75204
10.70000,0.35664,1057.79339,0.00000,1.42658,24.98331
10.80000,0.35993,1068.25819,0.00000,1.43973,25.23047
10.90000,0.36316,1079.43695,0.00000,1.45265,25.49450
11.00000,0.36651,1090.12704,0.00000,1.46604,25.74698
11.10000,0.36992,1100.73397,0.00000,1.47967,25.99750
11.20000,0.37327,1111.03877,0.00000,1.49306,26.24088
11.30000,0.37667,1122.09674,0.00000,1.50670,26.50205
11.40000,0.38002,1132.59898,0.00000,1.52009,26.75009
11.50000,0.38319,1142.80321,0.00000,1.53276,26.99110
11.60000,0.38654,1154.23547,0.00000,1.54616,27.26111
11.70000,0.38995,1164.58125,0.00000,1.55979,27.50546
11.80000,0.39324,1175.25607,0.00000,1.57294,27.75758
11.90000,0.39664,1186.12200,0.00000,1.58657,28.01422
12.00000,0.39999,1196.04152,0.00000,1.59997,28.24850
12.10000,0.40334,1207.14633,0.00000,1.61336,28.51078
12.20000,0.40663,1217.31320,0.00000,1.62651,28.75090
12.30000,0.40992,1227.91864,0.00000,1.63967,29.00138
12.40000,0.41326,1238.25083,0.00000,1.65306,29.24541
12.50000,0.41667,1248.34450,0.00000,1.66669,29.48381
12.60000,0.41996,1257.67328,0.00000,1.67985,29.70414
12.70000,0.42331,1268.39550,0.00000,1.69324,29.95738
12.80000,0.42666,1279.30259,0.00000,1.70663,30.21499
12.90000,0.42995,1289.18001,0.00000,1.71978,30.44828
13.00000,0.43329,1298.86800,0.00000,1.73318,30.67709
13.10000,0.43664,1308.98012,0.00000,1.74657,30.91592
13.20000,0.43993,1318.52310,0.00000,1.75972,31.14131
13.30000,0.44334,1328.90753,0.00000,1.77336,31.38657
13.40000,0.44669,1339.64932,0.00000,1.78675,31.64028
13.50000,0.44998,1348.88440,0.00000,1.79990,31.85839
13.60000,0.45332,1358.31665,0.00000,1.81330,32.08117
13.70000,0.45655,1367.71621,0.00000,1.82621,32.30317
13.80000,0.45990,1377.97687,0.00000,1.83960,32.54551
13.90000,0.46331,1387.55413,0.00000,1.85324,32.77171
14.00000,0.46660,1396.90666,0.00000,1.86639,32.99260
14.10000,0.46995,1406.38817,0.00000,1.87978,33.21654
14.20000,0.47329,1416.21660,0.00000,1.89317,33.44867
14.30000,0.47664,1424.82379,0.00000,1.90657,33.65195
14.40000,0.47987,1434.67607,0.00000,1.91948,33.88465
14.50000,0.48328,1444.56541,0.00000,1.93311,34.11822
14.60000,0.48669,1453.53451,0.00000,1.94675,34.33006
14.70000,0.48997,1461.62361,0.00000,1.95990,34.52111
14.80000,0.49326,1470.91262,0.00000,1.97305,34.74050
14.90000,0.49667,1480.84471,0.00000,1.98669,34.97507
15.00000,0.49996,1489.84455,0.00000,1.99984,35.18764
15.10000,0.50319,1498.03432,0.00000,2.01275,35.38107
15.20000,0.50666,1507.14796,0.00000,2.02662,35.59631
15.30000,0.51000,1516.41518,0.00000,2.04002,35.81519
15.40000,0.51329,1524.92849,0.00000,2.05317,36.01626
15.50000,0.51670,1534.52372,0.00000,2.06680,36.24289
15.60000,0.51999,1543.30842,0.00000,2.07996,36.45036
15.70000,0.52328,1551.59142,0.00000,2.09311,36.64600
15.80000,0.52669,1561.14725,0.00000,2.10674,36.87169
15.90000,0.52997,1570.95212,0.00000,2.11990,37.10326
16.00000,0.53326,1579.11796,0.00000,2.13305,37.29613
16.10000,0.53661,1588.84507,0.00000,2.14644,37.52586
16.20000,0.53990,1597.26273,0.00000,2.15960,37.72467
16.30000,0.54325,1606.41279,0.00000,2.17299,37.94078
16.40000,0.54660,1614.99381,0.00000,2.18638,38.14345
16.50000,0.54994,1624.17516,0.00000,2.19977,38.36030
16.60000,0.55323,1633.01677,0.00000,2.21293,38.56913
16.70000,0.55658,1641.94070,0.00000,2.22632,38.77989
16.80000,0.55999,1650.81061,0.00000,2.23995,38.98939
16.90000,0.56328,1660.01003,0.00000,2.25311,39.20666
17.00000,0.56657,1668.50928,0.00000,2.26626,39.40740
17.10000,0.57003,1677.57981,0.00000,2.28013,39.62163
17.20000,0.57332,1685.49921,0.00000,2.29329,39.80867
17.30000,0.57661,1694.54031,0.00000,2.30644,40.02221
17.40000,0.58002,1703.86452,0.00000,2.32007,40.24243
17.50000,0.58331,1710.80548,0.00000,2.33322,40.40636
17.60000,0.58683,232.07080,0.00000,2.34734,5.48112
17.70000,0.59018,269.72862,0.00000,2.36073,6.37054
17.80000,0.59341,281.88643,0.00000,2.37364,6.65769
17.90000,0.59664,292.46400,0.00000,2.38656,6.90751
18.00000,0.59999,303.31369,0.00000,2.39995,7.16376
18.10000,0.60328,313.20420,0.00000,2.41310,7.39736
18.20000,0.60662,323.10514,0.00000,2.42650,7.63120
18.30000,0.60997,331.86774,0.00000,2.43989,7.83816
18.40000,0.61320,340.44848,0.00000,2.45280,8.04082
18.50000,0.61661,349.41817,0.00000,2.46644,8.25267
18.60000,0.61996,358.08010,0.00000,2.47983,8.45725
18.70000,0.62325,367.02002,0.00000,2.49298,8.66840
18.80000,0.62659,375.17871,0.00000,2.50638,8.86109
18.90000,0.62994,383.22459,0.00000,2.51977,9.05112
19.00000,0.63323,391.01262,0.00000,2.53292,9.23506
19.10000,0.63658,400.05404,0.00000,2.54631,9.44861
19.20000,0.63993,408.09778,0.00000,2.55971,9.63859
19.30000,0.64328,416.27884,0.00000,2.57310,9.83181
19.40000,0.64656,424.11359,0.00000,2.58625,10.01685
19.50000,0.64991,432.17465,0.00000,2.59965,10.20724
19.60000,0.65332,440.57681,0.00000,2.61328,10.40569
19.70000,0.65661,449.31606,0.00000,2.62643,10.61209
19.80000,0.65996,457.32134,0.00000,2.63983,10.80117
19.90000,0.66336,465.01076,0.00000,2.65346,10.98278
20.00000,0.66665,473.24710,0.00000,2.66661,11.17731
20.10000,0.66988,480.52901,0.00000,2.67953,11.34929
20.20000,0.67335,489.02421,0.00000,2.69340,11.54993
20.30000,0.67664,496.40937,0.00000,2.70655,11.72436
20.40000,0.67999,505.47170,0.00000,2.71994,11.93840
20.50000,0.68333,513.22980,0.00000,2.73334,12.12163
20.60000,0.68662,521.63424,0.00000,2.74649,12.32013
20.70000,0.68997,529.76883,0.00000,2.75988,12.51225
20.80000,0.69332,537.98915,0.00000,2.77328,12.70640
20.90000,0.69661,545.50860,0.00000,2.78643,12.88400
21.00000,0.69996,553.38568,0.00000,2.79982,13.07004
21.10000,0.70330,560.73940,0.00000,2.81321,13.24373
21.20000,0.70671,568.11571,0.00000,2.82685,13.41794
21.30000,0.71000,575.75507,0.00000,2.84000,13.59837
21.40000,0.71329,582.98078,0.00000,2.85315,13.76903
21.50000,0.71664,590.59239,0.00000,2.86655,13.94880
21.60000,0.71993,598.16893,0.00000,2.87970,14.12775
21.70000,0.72321,605.33863,0.00000,2.89285,14.29709
21.80000,0.72662,612.92411,0.00000,2.90649,14.47624
21.90000,0.72997,620.32412,0.00000,2.91988,14.65102
22.00000,0.73332,627.69563,0.00000,2.93327,14.82512
22.10000,0.73673,635.65550,0.00000,2.94690,15.01312
22.20000,0.74001,642.90287,0.00000,2.96006,15.18429
22.30000,0.74324,650.34148,0.00000,2.97297,15.35998
22.40000,0.74665,657.51974,0.00000,2.98660,15.52952
22.50000,0.75000,664.57796,0.00000,3.00000,15.69622
22.60000,0.75329,671.00963,0.00000,3.01315,15.84813
22.70000,0.75670,679.01248,0.00000,3.02678,16.03714
22.80000,0.75998,684.87790,0.00000,3.03994,16.17567
22.90000,0.76327,691.03483,0.00000,3.05309,16.32109
23.00000,0.76656,696.72470,0.00000,3.06624,16.45547
23.10000,0.76991,703.76894,0.00000,3.07964,16.62185
23.20000,0.77326,710.11628,0.00000,3.09303,16.77176
23.30000,0.77655,717.44821,0.00000,3.10618,16.94493
23.40000,0.77995,724.66661,0.00000,3.11982,17.11541
23.50000,0.78336,732.18821,0.00000,3.13345,17.29306
23.60000,0.78665,739.25420,0.00000,3.14660,17.45995
23.70000,0.79000,747.00471,0.00000,3.15999,17.64300
23.80000,0.79329,754.22809,0.00000,3.17315,17.81361
23.90000,0.79658,762.08320,0.00000,3.18630,17.99913
24.00000,0.79998,768.74597,0.00000,3.19993,18.15649
24.10000,0.80339,776.75600,0.00000,3.21357,18.34568
24.20000,0.80668,784.67941,0.00000,3.22672,18.53282
24.30000,0.81009,792.04850,0.00000,3.24035,18.70686
24.40000,0.81332,799.68702,0.00000,3.25327,18.88727
24.50000,0.81655,807.40880,0.00000,3.26618,19.06964
24.60000,0.81995,814.87307,0.00000,3.27981,19.24594
24.70000,0.82324,822.75569,0.00000,3.29297,19.43211
24.80000,0.82659,830.24101,0.00000,3.30636,19.60890
24.90000,0.83006,838.57412,0.00000,3.32023,19.80572
25.00000,0.83329,845.77268,0.00000,3.33314,19.97574
25.10000,0.83657,853.60939,0.00000,3.34630,20.16083
25.20000,0.83986,860.54904,0.00000,3.35945,20.32473
25.30000,0.84321,868.25220,0.00000,3.37285,20.50666
25.40000,0.84656,876.49729,0.00000,3.38624,20.70140
25.50000,0.84997,883.73683,0.00000,3.39987,20.87239
25.60000,0.85332,890.42736,0.00000,3.41326,21.03041
25.70000,0.85666,897.21410,0.00000,3.42666,21.19070
25.80000,0.86001,904.44339,0.00000,3.44005,21.36144
25.90000,0.86324,911.00074,0.00000,3.45296,21.51631
26.00000,0.86665,917.12084,0.00000,3.46659,21.66086
26.10000,0.87000,923.32764,0.00000,3.47999,21.80746
26.20000,0.87335,932.03187,0.00000,3.49338,22.01303
26.30000,0.87669,939.44091,0.00000,3.50677,22.18802
26.40000,0.88004,946.92232,0.00000,3.52017,22.36472
26.50000,0.88333,953.64572,0.00000,3.53332,22.52352
26.60000,0.88662,961.00699,0.00000,3.54647,22.69738
26.70000,0.88991,968.49781,0.00000,3.55963,22.87430
26.80000,0.89331,976.42755,0.00000,3.57326,23.06159
26.90000,0.89666,983.42830,0.00000,3.58665,23.22693
27.00000,0.90001,991.66818,0.00000,3.60004,23.42155
27.10000,0.90342,998.52029,0.00000,3.61368,23.58338
27.20000,0.90665,1005.01254,0.00000,3.62659,23.73672
27.30000,0.90988,1011.15732,0.00000,3.63951,23.88185
27.40000,0.91334,1019.21139,0.00000,3.65338,24.07207
27.50000,0.91657,1025.66900,0.00000,3.66629,24.22459
27.60000,0.91992,1032.22271,0.00000,3.67968,24.37937
27.70000,0.92333,1040.09835,0.00000,3.69332,24.56538
27.80000,0.92668,1045.81853,0.00000,3.70671,24.70049
27.90000,0.92991,1038.42719,0.00000,3.71962,24.52591
28.00000,0.93325,1037.15705,0.00000,3.73302,24.49591
28.10000,0.93654,1045.37765,0.00000,3.74617,24.69007
28.20000,0.93995,1054.08700,0.00000,3.75980,24.89577
28.30000,0.94330,1061.67039,0.00000,3.77320,25.07488
28.40000,0.94665,1067.71253,0.00000,3.78659,25.21758
28.50000,0.95000,1070.44037,0.00000,3.79998,25.28201
28.60000,0.95334,1075.81057,0.00000,3.81337,25.40885
28.70000,0.95663,1083.31889,0.00000,3.82653,25.58618
28.80000,0.95992,1089.18101,0.00000,3.83968,25.72463
28.90000,0.96327,1095.08196,0.00000,3.85307,25.86400
29.00000,0.96668,1101.94031,0.00000,3.86671,26.02599
29.10000,0.97002,1107.46669,0.00000,3.88010,26.15651
29.20000,0.97331,1113.02780,0.00000,3.89325,26.28786
29.30000,0.97672,1119.94389,0.00000,3.90688,26.45120
29.40000,0.98001,1124.46966,0.00000,3.92004,26.55809
29.50000,0.98324,1130.14262,0.00000,3.93295,26.69208
29.60000,0.98665,1136.84721,0.00000,3.94658,26.85043
29.70000,0.98999,1142.92176,0.00000,3.95998,26.99390
29.80000,0.99328,1148.59687,0.00000,3.97313,27.12794
29.90000,0.99663,1154.76865,0.00000,3.98652,27.27370
30.00000,0.99998,1159.57484,0.00000,3.99992,27.38722
30.10000,1.00327,1164.56021,0.00000,4.01307,27.50496
30.20000,1.00662,1169.88970,0.00000,4.02646,27.63084
30.30000,1.00996,1175.31950,0.00000,4.03986,27.75908
30.40000,1.01325,1180.04652,0.00000,4.05301,27.87073
30.50000,1.01660,1184.09293,0.00000,4.06640,27.96630
30.60000,1.01995,1190.39658,0.00000,4.07980,28.11518
30.70000,1.02330,1195.87714,0.00000,4.09319,28.24462
30.80000,1.02659,1199.75973,0.00000,4.10634,28.33632
30.90000,1.02987,1205.44620,0.00000,4.11950,28.47062
31.00000,1.03322,1210.06006,0.00000,4.13289,28.57960
31.10000,1.03657,1215.62276,0.00000,4.14628,28.71098
31.20000,1.03998,1220.13353,0.00000,4.15991,28.81751
31.30000,1.04333,1226.07835,0.00000,4.17331,28.95792
31.40000,1.04667,1230.54031,0.00000,4.18670,29.06330
31.50000,1.05002,1236.06417,0.00000,4.20009,29.19377
31.60000,1.05331,1240.23361,0.00000,4.21325,29.29224
31.70000,1.05666,1245.05246,0.00000,4.22664,29.40606
31.80000,1.06007,1250.85516,0.00000,4.24027,29.54311
31.90000,1.06336,1254.38636,0.00000,4.25342,29.62651
32.00000,1.06664,1259.28242,0.00000,4.26658,29.74215
32.10000,1.06999,1264.46187,0.00000,4.27997,29.86448
32.20000,1.07328,1269.10536,0.00000,4.29312,29.97415
32.30000,1.07657,1274.38810,0.00000,4.30628,30.09892
32.40000,1.07992,1279.59242,0.00000,4.31967,30.22183
32.50000,1.08327,1285.32760,0.00000,4.33306,30.35729
32.60000,1.08661,1290.91917,0.00000,4.34646,30.48935
32.70000,1.08996,1295.46234,0.00000,4.35985,30.59665
32.80000,1.09325,1301.49387,0.00000,4.37300,30.73911
32.90000,1.09660,1306.92990,0.00000,4.38640,30.86750
33.00000,1.09995,1311.77120,0.00000,4.39979,30.98184
33.10000,1.10324,1317.19857,0.00000,4.41294,31.11003
33.20000,1.10658,1322.47889,0.00000,4.42634,31.23474
33.30000,1.10993,1327.56997,0.00000,4.43973,31.35498
33.40000,1.11328,1333.57244,0.00000,4.45312,31.49675
33.50000,1.11663,1338.08870,0.00000,4.46651,31.60342
33.60000,1.11998,1342.37576,0.00000,4.47991,31.70467
33.70000,1.12332,1347.45566,0.00000,4.49330,31.82465
33.80000,1.12661,1352.22115,0.00000,4.50645,31.93720
33.90000,1.12996,1356.96651,0.00000,4.51985,32.04928
34.00000,1.13337,1361.35034,0.00000,4.53348,32.15282
34.10000,1.13660,1365.95117,0.00000,4.54639,32.26148
34.20000,1.13995,1371.85138,0.00000,4.55979,32.40084
34.30000,1.14335,1375.86165,0.00000,4.57342,32.49555
34.40000,1.14664,1379.31136,0.00000,4.58657,32.57703
34.50000,1.14993,1382.93114,0.00000,4.59973,32.66252
34.60000,1.15334,1388.11162,0.00000,4.61336,32.78487
34.70000,1.15663,1391.03131,0.00000,4.62651,32.85383
34.80000,1.15992,1394.33956,0.00000,4.63966,32.93197
34.90000,1.16326,1397.72817,0.00000,4.65306,33.01200
35.00000,1.16655,1400.89979,0.00000,4.66621,33.08691
35.10000,1.16990,1402.18213,0.00000,4.67960,33.11720
35.20000,1.17325,1402.68411,0.00000,4.69300,33.12906
35.30000,1.17654,1406.71413,0.00000,4.70615,33.22424
35.40000,1.17995,1410.08375,0.00000,4.71978,33.30382
35.50000,1.18329,1412.75395,0.00000,4.73318,33.36689
35.60000,1.18664,1416.37092,0.00000,4.74657,33.45231
35.70000,1.18993,1419.62012,0.00000,4.75972,33.52905
35.80000,1.19328,1422.34992,0.00000,4.77311,33.59352
35.90000,1.19669,1427.91718,0.00000,4.78675,33.72502
36.00000,1.20003,1432.51289,0.00000,4.80014,33.83356
36.10000,1.20326,1437.03138,0.00000,4.81305,33.94028
36.20000,1.20667,1441.95510,0.00000,4.82669,34.05657
36.30000,1.21002,1446.10936,0.00000,4.84008,34.15469
36.40000,1.21331,1445.38945,0.00000,4.85323,34.13768
36.50000,1.21666,1450.10659,0.00000,4.86663,34.24909
36.60000,1.22000,1454.50253,0.00000,4.88002,34.35292
36.70000,1.22329,1460.03189,0.00000,4.89317,34.48351
36.80000,1.22670,1464.62843,0.00000,4.90680,34.59208
36.90000,1.22999,1469.06050,0.00000,4.91996,34.69675
37.00000,1.23328,1475.19391,0.00000,4.93311,34.84161
37.10000,1.23663,1479.68531,0.00000,4.94650,34.94769
37.20000,1.23991,1484.33363,0.00000,4.95966,35.05748
37.30000,1.24326,1488.28505,0.00000,4.97305,35.15080
37.40000,1.24661,1493.24210,0.00000,4.98644,35.26788
37.50000,1.24996,1497.17629,0.00000,4.99984,35.36080
37.60000,1.25331,1500.53892,0.00000,5.01323,35.44022
37.70000,1.25660,1504.89360,0.00000,5.02638,35.54307
37.80000,1.25994,1508.97941,0.00000,5.03978,35.63957
37.90000,1.26329,1514.31384,0.00000,5.05317,35.76556
38.00000,1.26658,1517.82837,0.00000,5.06632,35.84857
38.10000,1.26987,1522.45685,0.00000,5.07948,35.95789
38.20000,1.27328,1527.22308,0.00000,5.09311,36.07045
38.30000,1.27663,1531.74959,0.00000,5.10650,36.17736
38.40000,1.28003,1535.91484,0.00000,5.12013,36.27574
38.50000,1.28338,1541.37127,0.00000,5.13353,36.40461
38.60000,1.28661,1545.69345,0.00000,5.14644,36.50669
38.70000,1.29002,1550.94722,0.00000,5.16007,36.63078
38.80000,1.29331,1553.94115,0.00000,5.17323,36.70149
38.90000,1.29665,1559.57378,0.00000,5.18662,36.83453
39.00000,1.30000,1563.81540,0.00000,5.20001,36.93470
39.10000,1.30329,1567.30339,0.00000,5.21316,37.01709
39.20000,1.30658,1571.17750,0.00000,5.22632,37.10859
39.30000,1.30999,1574.20728,0.00000,5.23995,37.18015
39.40000,1.31328,1575.84026,0.00000,5.25310,37.21871
39.50000,1.31656,1576.93457,0.00000,5.26626,37.24456
39.60000,1.31997,1579.82558,0.00000,5.27989,37.31284
39.70000,1.32332,1582.49345,0.00000,5.29328,37.37585
39.80000,1.32667,1586.50707,0.00000,5.30668,37.47065
39.90000,1.33002,1591.43638,0.00000,5.32007,37.58707
40.00000,1.33331,1595.98812,0.00000,5.33322,37.69457
40.10000,1.33671,1601.05694,0.00000,5.34685,37.81429
40.20000,1.34000,1605.19499,0.00000,5.36001,37.91202
40.30000,1.34335,1610.14833,0.00000,5.37340,38.02901
40.40000,1.34664,1614.53243,0.00000,5.38655,38.13256
40.50000,1.34993,1617.43071,0.00000,5.39971,38.20101
40.60000,1.35334,1623.08458,0.00000,5.41334,38.33455
40.70000,1.35662,1595.47515,0.00000,5.42649,37.68246
40.80000,1.35997,1600.53987,0.00000,5.43989,37.80207
40.90000,1.36338,1608.78263,0.00000,5.45352,37.99676
41.00000,1.36655,1616.92109,0.00000,5.46619,38.18897
41.10000,1.36990,1624.64809,0.00000,5.47959,38.37147
41.20000,1.37330,1631.98132,0.00000,5.49322,38.54467
41.30000,1.37665,1638.76954,0.00000,5.50661,38.70500
41.40000,1.37994,1645.68666,0.00000,5.51977,38.86837
41.50000,1.38335,1651.57095,0.00000,5.53340,39.00734
41.60000,1.38664,1656.14337,0.00000,5.54655,39.11534
41.70000,1.38993,1660.28589,0.00000,5.55971,39.21318
41.80000,1.39327,1664.49025,0.00000,5.57310,39.31248
41.90000,1.39656,1667.63030,0.00000,5.58625,39.38664
42.00000,1.39991,1668.64563,0.00000,5.59964,39.41062
42.10000,1.40332,1670.05621,0.00000,5.61328,39.44394
42.20000,1.40667,1670.79847,0.00000,5.62667,39.46147
42.30000,1.41002,1671.27419,0.00000,5.64006,39.47270
42.40000,1.41324,1673.17316,0.00000,5.65298,39.51755
42.50000,1.41659,1675.60335,0.00000,5.66637,39.57495
42.60000,1.41994,1677.74912,0.00000,5.67976,39.62563
42.70000,1.42323,1680.78318,0.00000,5.69292,39.69729
42.80000,1.42670,1684.75546,0.00000,5.70679,39.79111
42.90000,1.43005,1687.99758,0.00000,5.72018,39.86768
43.00000,1.43333,1690.95807,0.00000,5.73333,39.93760
43.10000,1.43668,1694.68056,0.00000,5.74673,40.02552
43.20000,1.43997,1698.97173,0.00000,5.75988,40.12687
43.30000,1.44320,1702.85013,0.00000,5.77279,40.21847
43.40000,1.44667,1706.44224,0.00000,5.78667,40.30331
43.50000,1.45001,1709.29711,0.00000,5.80006,40.37074
43.60000,1.45330,1712.42803,0.00000,5.81321,40.44469
43.70000,1.45671,1715.75695,0.00000,5.82684,40.52331
43.80000,1.45994,1717.33182,0.00000,5.83976,40.56050
43.90000,1.46317,1720.14330,0.00000,5.85267,40.62691
44.00000,1.46658,1724.38193,0.00000,5.86631,40.72702
44.10000,1.46992,1726.86949,0.00000,5.87970,40.78577
44.20000,1.47327,1730.50202,0.00000,5.89309,40.87156
44.30000,1.47668,1733.46512,0.00000,5.90672,40.94155
44.40000,1.47997,1736.23543,0.00000,5.91988,41.00698
44.50000,1.48326,1739.14470,0.00000,5.93303,41.07569
44.60000,1.48661,1742.82230,0.00000,5.94642,41.16255
44.70000,1.48989,1745.06661,0.00000,5.95958,41.21555
44.80000,1.49324,1748.31580,0.00000,5.97297,41.29230
44.90000,1.49665,1751.65143,0.00000,5.98660,41.37108
45.00000,1.50000,1754.39510,0.00000,6.00000,41.43588
45.10000,1.50341,1758.17218,0.00000,6.01363,41.52509
45.20000,1.50664,1760.30062,0.00000,6.02654,41.57536
45.30000,1.50992,1763.64928,0.00000,6.03970,41.65445
45.40000,1.51327,1767.02216,0.00000,6.05309,41.73411
45.50000,1.51662,1769.91653,0.00000,6.06648,41.80247
45.60000,1.52003,1773.77332,0.00000,6.08011,41.89356
45.70000,1.52338,1776.69991,0.00000,6.09351,41.96268
